,id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max,spectral_type,index,temperature,radius,name,description,image,external_url,premium,price
107368,107368,107711,,,NN 4224A,,,21.819912,-41.559017,20.4499,948.19,-471.79,0.0,11.52,9.967,M6,1.57,12.876807,-8.266936,-13.566282,2.468e-05,9.586e-05,-3.5e-05,5.712439591354829,-0.7253416788965512,4.5969548376e-06,-2.287302463e-06,,,Gru,1,107368,NN 4224,0.0089784217090972,,11.628,11.428,M,916,3564.1400030345985,0.25140925451198187,HIP107711,"HIP107711 belongs to the Gru constellation. For more information, visit https://explorer.openstars.org/#view/hip-107711",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip107711.png,https://explorer.openstars.org/#view/hip-107711,0,0.09
19843,19843,19893,27290.0,1338.0,Gl 167.1,Gam Dor,,4.267097,-51.486648,20.4625,100.57,184.23,25.2,4.26,2.705,F4III,0.312,5.584439,11.453148,-16.011327,4.33e-06,3.165e-05,-8.79e-06,1.1171234452997871,-0.8986115267428738,4.875771185e-07,8.93172243e-07,Gam,,Dor,1,19843,,7.211074791828994,Gam,4.287,4.217,F,917,7024.448674260954,1.8292858131395417,HIP19893,"HIP19893 belongs to the Dor constellation. For more information, visit https://explorer.openstars.org/#view/hip-19893",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip19893.png,https://explorer.openstars.org/#view/hip-19893,0,0.11
105192,105192,105533,,,,,,21.374056,10.873761,20.4708,-56.75,31.97,0.0,9.91,8.354,M0,1.495,15.53687,-12.757209,3.861729,-4.04e-06,-3.97e-06,3.12e-06,5.595714738597068,0.1897829292056637,-2.751317637e-07,1.54994933e-07,,,Equ,1,105192,,0.0396643187946858,,,,M,918,3657.5709816423814,0.501466702224763,HIP105533,"HIP105533 belongs to the Equ constellation. For more information, visit https://explorer.openstars.org/#view/hip-105533",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip105533.png,https://explorer.openstars.org/#view/hip-105533,0,0.09
48274,48274,48411,85488.0,,Gl 371,,,9.869823,3.221842,20.4708,-425.61,17.85,21.5,8.86,7.304,K5,1.23,-17.341891,10.816501,1.150513,3.81e-06,4.74e-05,3e-06,2.583913627114324,0.0562317502183587,-2.0634155058e-06,8.6539241e-08,,,Sex,1,48274,,0.1043277881459965,,,,K,919,4043.9629659873767,0.6650311550664404,HIP48411,"HIP48411 belongs to the Sex constellation. For more information, visit https://explorer.openstars.org/#view/hip-48411",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip48411.png,https://explorer.openstars.org/#view/hip-48411,0,0.1
6056,6056,6069,,,NN 3084,,,1.298125,5.473939,20.4792,88.17,-629.73,0.0,11.02,9.463,M2V:,1.478,19.219847,6.795491,1.953572,2.71e-06,1.024e-05,-6.223e-05,0.3398483732769438,0.0955382580995874,4.274602221e-07,-3.05301719e-06,,,Psc,1,6056,,0.0142823608001918,,,,M,920,3679.610482273404,0.2974437540874563,HIP6069,"HIP6069 belongs to the Psc constellation. For more information, visit https://explorer.openstars.org/#view/hip-6069",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip6069.png,https://explorer.openstars.org/#view/hip-6069,0,0.09
114977,114977,115341,220221.0,,,,,23.362334,45.176057,20.4834,197.05,-71.39,0.0,8.12,6.563,K2,1.056,14.238646,-2.399285,14.528388,8.21e-06,1.846e-05,-5e-06,6.116244833096879,0.7884709455507475,9.553253575e-07,-3.46108486e-07,,,And,1,114977,,0.206442923207399,,,,K,921,4360.0485242378645,0.8045495556402555,HIP115341,"HIP115341 belongs to the And constellation. For more information, visit https://explorer.openstars.org/#view/hip-115341",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip115341.png,https://explorer.openstars.org/#view/hip-115341,0,0.1
75493,75493,75722,137778.0,,Gl 586B,,,15.470058,-9.35786,20.4918,81.53,-355.85,8.0,7.57,6.012,K2V,0.868,-12.434009,-15.943968,-3.331985,4.96e-06,-6.81e-06,-3.621e-05,4.050051768600196,-0.1633254665829675,3.952685937e-07,-1.725209482e-06,,,Lib,2,75489,Gl 586,0.3429256732975601,,,,K,922,4781.007265087409,0.8621974770013052,HIP75722,"HIP75722 belongs to the Lib constellation. For more information, visit https://explorer.openstars.org/#view/hip-75722",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip75722.png,https://explorer.openstars.org/#view/hip-75722,0,0.1
108035,108035,108380,,,NN 4241,,,21.957288,8.137209,20.4918,380.83,103.22,0.0,11.02,9.462,M1V:,1.439,17.453237,-10.338546,2.900494,1.803e-05,3.329e-05,1.015e-05,5.748404488264472,0.1420210817159587,1.8463159396e-06,5.00424681e-07,,,Peg,1,108035,,0.0142955214003703,,11.091,10.941,M,923,3731.4510874091097,0.2893695833957211,HIP108380,"HIP108380 belongs to the Peg constellation. For more information, visit https://explorer.openstars.org/#view/hip-108380",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip108380.png,https://explorer.openstars.org/#view/hip-108380,0,0.09
62035,62035,62229,110810.0,,,,,12.754031,-57.358,20.496,-201.44,-130.6,0.0,7.82,6.262,K3V,0.937,-10.84061,-2.168146,-17.258805,6.79e-06,2.177e-05,-7e-06,3.3389976076740666,-1.001085955208327,-9.766086781e-07,-6.33166666e-07,,,Cru,1,62035,,0.2723955447120864,,,,K,924,4615.066548132209,0.8247653443111352,HIP62229,"HIP62229 belongs to the Cru constellation. For more information, visit https://explorer.openstars.org/#view/hip-62229",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip62229.png,https://explorer.openstars.org/#view/hip-62229,0,0.1
64252,64252,64457,114783.0,,NN 3769,,,13.212163,-2.26504,20.5002,-138.13,9.62,0.0,7.56,6.001,K0,0.93,-19.461361,-6.391962,-0.810211,-4.32e-06,1.303e-05,9.6e-07,3.4589361223600514,-0.039532398908085,-6.696731369e-07,4.6639076e-08,,,Vir,1,64252,,0.3464176410352486,,,,K,925,4631.245592640586,0.923523894211975,HIP64457,"HIP64457 belongs to the Vir constellation. For more information, visit https://explorer.openstars.org/#view/hip-64457",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip64457.png,https://explorer.openstars.org/#view/hip-64457,0,0.1
